epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.4527,2.05048,4.17275,2.28467,0.89898,0.06265,0.22908,0.08419,1.60376,3.12806,1.58826,0.000410448,0.000410448,0.000410448
2,33.2819,1.71556,3.11261,1.76207,0.22245,0.53397,0.25066,0.11818,1.66738,3.81373,1.74822,0.000824385,0.000824385,0.000824385
3,46.7667,1.68479,2.78759,1.68824,0.43935,0.35322,0.25815,0.11942,1.67601,5.10035,2.17866,0.00123557,0.00123557,0.00123557
4,61.7068,1.62847,2.67852,1.68827,0.18006,0.42995,0.20064,0.08975,1.84378,2.58165,1.79804,0.00123763,0.00123763,0.00123763
5,76.1387,1.61721,2.55363,1.65938,0.49519,0.51575,0.30681,0.1585,1.54528,2.07193,1.60925,0.0012335,0.0012335,0.0012335
6,90.1486,1.57826,2.35213,1.59646,0.16023,0.52752,0.29676,0.13387,1.5973,2.28828,1.67601,0.00122937,0.00122937,0.00122937
7,105.194,1.5387,2.16608,1.59972,0.77629,0.39324,0.40616,0.21717,1.45451,1.97879,1.49859,0.00122525,0.00122525,0.00122525
8,119.16,1.49655,2.01531,1.53574,0.8977,0.21698,0.38472,0.19813,1.46737,3.47818,1.56369,0.00122112,0.00122112,0.00122112
9,133.534,1.55091,1.97525,1.54411,0.2797,0.64395,0.43514,0.22699,1.55459,1.6996,1.54371,0.001217,0.001217,0.001217
10,146.766,1.54705,1.95091,1.5606,0.27495,0.57182,0.38353,0.19113,1.55732,2.00422,1.63601,0.00121287,0.00121287,0.00121287
11,160.887,1.56088,1.89785,1.56375,0.66511,0.46574,0.49311,0.2459,1.5745,1.50123,1.58141,0.00120875,0.00120875,0.00120875
12,173.889,1.50049,1.832,1.52349,0.87101,0.40254,0.50122,0.26491,1.55751,1.52054,1.58161,0.00120462,0.00120462,0.00120462
13,188.119,1.54981,1.77431,1.55766,0.82526,0.31977,0.42188,0.17003,1.57666,1.99895,1.61052,0.0012005,0.0012005,0.0012005
14,203.709,1.48807,1.72996,1.5184,0.60199,0.48635,0.47705,0.25124,1.51907,1.76616,1.5285,0.00119637,0.00119637,0.00119637
15,221.244,1.516,1.65873,1.54973,0.40393,0.51872,0.6067,0.29339,1.61535,1.46621,1.63761,0.00119225,0.00119225,0.00119225
16,232.688,1.51291,1.66786,1.56029,0.38376,0.58819,0.5604,0.31802,1.44881,1.4051,1.4722,0.00118812,0.00118812,0.00118812
17,244.347,1.49804,1.65085,1.54579,0.89481,0.42549,0.58843,0.28739,1.54693,1.46508,1.57803,0.001184,0.001184,0.001184
18,255.987,1.46279,1.65637,1.54703,0.35498,0.73168,0.54928,0.30816,1.45108,1.41216,1.50477,0.00117988,0.00117988,0.00117988
