epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.36183,2.11917,3.84573,2.17764,0.6221,0.11042,0.22101,0.0867,1.79218,2.70278,1.76213,0.000410448,0.000410448,0.000410448
2,19.9393,1.66086,2.8929,1.71465,0.20119,0.46726,0.22685,0.10127,1.69923,2.54029,1.75072,0.000824385,0.000824385,0.000824385
3,30.1231,1.62546,2.67167,1.68432,0.13202,0.70977,0.25446,0.12551,1.592,3.13169,1.83093,0.00123557,0.00123557,0.00123557
4,38.4959,1.57757,2.49882,1.65067,0.18581,0.65387,0.24378,0.09444,1.66815,4.03264,1.74436,0.00123763,0.00123763,0.00123763
5,48.6983,1.56391,2.30105,1.67937,0.17779,0.66306,0.2825,0.14186,1.50369,2.07638,1.63276,0.0012335,0.0012335,0.0012335
6,58.8659,1.55457,2.16742,1.65384,0.67353,0.40663,0.44821,0.23218,1.48559,1.70983,1.65834,0.00122937,0.00122937,0.00122937
7,67.1081,1.50065,2.00154,1.63712,0.84802,0.40274,0.48666,0.25431,1.5143,1.6513,1.79315,0.00122525,0.00122525,0.00122525
8,77.343,1.48008,1.89338,1.59235,0.63423,0.42986,0.46942,0.25108,1.52755,1.60282,1.70321,0.00122112,0.00122112,0.00122112
9,87.4195,1.54345,1.82263,1.64018,0.58506,0.41646,0.42812,0.21699,1.56325,1.66806,1.65531,0.001217,0.001217,0.001217
10,97.4233,1.4987,1.77158,1.57233,0.82226,0.45207,0.55337,0.29948,1.50765,1.5057,1.56713,0.00121287,0.00121287,0.00121287
11,105.526,1.49254,1.7628,1.60097,0.31245,0.59396,0.48548,0.22378,1.5672,1.67426,1.68881,0.00120875,0.00120875,0.00120875
12,115.589,1.48877,1.70917,1.60319,0.45392,0.57203,0.54633,0.30225,1.42674,1.4343,1.63302,0.00120462,0.00120462,0.00120462
13,125.795,1.50249,1.64909,1.59636,0.40465,0.55683,0.51201,0.27223,1.52284,1.61624,1.70637,0.0012005,0.0012005,0.0012005
14,134.122,1.46845,1.61951,1.59369,0.64495,0.4975,0.56427,0.31076,1.50816,1.39017,1.65835,0.00119637,0.00119637,0.00119637
15,144.036,1.48106,1.59914,1.58965,0.25896,0.45541,0.41166,0.22154,1.47005,2.02557,1.67674,0.00119225,0.00119225,0.00119225
16,153.906,1.48801,1.61476,1.58822,0.79571,0.43164,0.54721,0.29191,1.46217,1.44868,1.52891,0.00118812,0.00118812,0.00118812
17,162.118,1.45997,1.62568,1.56791,0.44155,0.77773,0.70395,0.3851,1.41806,1.35888,1.58049,0.001184,0.001184,0.001184
18,172.398,1.4628,1.57985,1.59953,0.45908,0.65259,0.63714,0.35275,1.52312,1.32517,1.6196,0.00117988,0.00117988,0.00117988
19,182.585,1.43732,1.52755,1.56294,0.44001,0.63931,0.58483,0.31975,1.49355,1.47657,1.65928,0.00117575,0.00117575,0.00117575
20,190.604,1.44765,1.55104,1.57024,0.39009,0.54038,0.51217,0.29291,1.45163,1.60472,1.53062,0.00117163,0.00117163,0.00117163
21,200.489,1.43689,1.46223,1.5548,0.38061,0.7592,0.55488,0.3046,1.54082,1.31523,1.63493,0.0011675,0.0011675,0.0011675
22,210.677,1.43851,1.51886,1.54839,0.48941,0.64556,0.64742,0.35994,1.49553,1.30885,1.65703,0.00116337,0.00116337,0.00116337
23,218.775,1.4241,1.42511,1.55011,0.42119,0.77211,0.61408,0.32215,1.50546,1.32976,1.68934,0.00115925,0.00115925,0.00115925
24,228.52,1.43436,1.46312,1.57411,0.54724,0.73544,0.62969,0.35864,1.49843,1.26469,1.68854,0.00115513,0.00115513,0.00115513
25,238.66,1.41131,1.44273,1.54939,0.36715,0.45761,0.47936,0.25821,1.51815,1.73796,1.70379,0.001151,0.001151,0.001151
26,248.729,1.39194,1.4012,1.53476,0.42647,0.68236,0.58701,0.33794,1.43044,1.30249,1.62667,0.00114688,0.00114688,0.00114688
27,257.141,1.40642,1.40494,1.53976,0.51295,0.69979,0.64301,0.35749,1.50761,1.22853,1.68792,0.00114275,0.00114275,0.00114275
28,267.873,1.40031,1.35439,1.5581,0.45586,0.78846,0.61221,0.32675,1.58623,1.29079,1.73017,0.00113863,0.00113863,0.00113863
29,278.468,1.38025,1.34406,1.55545,0.56483,0.6466,0.61063,0.33265,1.61268,1.16628,1.75371,0.0011345,0.0011345,0.0011345
30,287.009,1.39776,1.3761,1.5462,0.48831,0.81331,0.65094,0.3462,1.59495,1.1129,1.70999,0.00113038,0.00113038,0.00113038
31,298.224,1.40707,1.31829,1.53314,0.4707,0.76291,0.60263,0.3261,1.64646,1.17049,1.80479,0.00112625,0.00112625,0.00112625
32,308.802,1.40539,1.36492,1.57317,0.46446,0.85799,0.65944,0.35525,1.60861,1.08341,1.77932,0.00112213,0.00112213,0.00112213
33,317.503,1.38041,1.32817,1.51488,0.41318,0.75425,0.62532,0.34488,1.5632,1.20858,1.65379,0.001118,0.001118,0.001118
34,328.481,1.39696,1.31838,1.53417,0.53557,0.80241,0.68717,0.40406,1.50924,1.12534,1.66969,0.00111388,0.00111388,0.00111388
35,338.858,1.36782,1.23542,1.52134,0.52846,0.6264,0.61317,0.35262,1.5774,1.26969,1.78435,0.00110975,0.00110975,0.00110975
36,347.079,1.36315,1.23448,1.53244,0.58974,0.78607,0.72297,0.42739,1.52746,1.02077,1.75091,0.00110563,0.00110563,0.00110563
37,357.201,1.37927,1.24102,1.52987,0.53336,0.74868,0.69709,0.388,1.65146,0.97709,1.87267,0.0011015,0.0011015,0.0011015
38,367.292,1.36174,1.22616,1.52424,0.49964,0.75081,0.69951,0.37809,1.59722,1.06274,1.84253,0.00109738,0.00109738,0.00109738
39,375.219,1.34731,1.2442,1.51157,0.46535,0.7338,0.62243,0.35307,1.56143,1.10066,1.77216,0.00109325,0.00109325,0.00109325
40,385.084,1.34549,1.26674,1.51247,0.50045,0.68151,0.66448,0.33915,1.66454,1.10573,1.91362,0.00108913,0.00108913,0.00108913
41,394.955,1.38115,1.25841,1.54578,0.51129,0.72482,0.66119,0.34541,1.60198,1.08437,1.76052,0.001085,0.001085,0.001085
42,403.022,1.35495,1.19823,1.52529,0.5487,0.79025,0.71535,0.3853,1.55346,1.03829,1.71387,0.00108088,0.00108088,0.00108088
43,412.721,1.33435,1.20942,1.51044,0.52544,0.68495,0.59975,0.33833,1.50716,1.13303,1.66344,0.00107675,0.00107675,0.00107675
44,422.702,1.329,1.17912,1.49799,0.46255,0.79347,0.56983,0.30468,1.59131,1.26262,1.74997,0.00107263,0.00107263,0.00107263
45,430.698,1.37468,1.19471,1.52313,0.48307,0.7998,0.6256,0.32632,1.66893,1.09585,1.87595,0.0010685,0.0010685,0.0010685
46,440.626,1.33751,1.19004,1.50837,0.59084,0.68672,0.70888,0.38414,1.71218,1.05096,1.88624,0.00106437,0.00106437,0.00106437
47,450.587,1.34267,1.19029,1.49814,0.55812,0.7465,0.72895,0.38897,1.5954,1.04063,1.75905,0.00106025,0.00106025,0.00106025
48,460.482,1.29379,1.19616,1.47408,0.55834,0.72618,0.65348,0.36934,1.54752,0.97709,1.71156,0.00105612,0.00105612,0.00105612
49,468.565,1.29795,1.10934,1.47951,0.56138,0.83036,0.67149,0.35703,1.62915,1.01889,1.85239,0.001052,0.001052,0.001052
50,478.681,1.30259,1.15476,1.48724,0.50608,0.76403,0.60045,0.33056,1.59188,1.1476,1.78127,0.00104787,0.00104787,0.00104787
51,488.514,1.28614,1.12306,1.4701,0.50748,0.76025,0.65274,0.35983,1.52992,1.10545,1.75935,0.00104375,0.00104375,0.00104375
52,496.521,1.34358,1.1673,1.51797,0.55717,0.72734,0.67211,0.35469,1.62369,1.01849,1.8762,0.00103962,0.00103962,0.00103962
53,506.406,1.33607,1.1805,1.52041,0.43008,0.73006,0.53458,0.30285,1.62015,1.23969,1.81592,0.0010355,0.0010355,0.0010355
54,516.418,1.3146,1.09636,1.50582,0.55584,0.83083,0.65738,0.36156,1.58158,0.98963,1.80935,0.00103138,0.00103138,0.00103138
55,524.543,1.3179,1.11151,1.50112,0.49131,0.67647,0.58391,0.31473,1.60081,1.18536,1.76621,0.00102725,0.00102725,0.00102725
56,534.426,1.31126,1.10778,1.49012,0.44193,0.65942,0.56528,0.30934,1.48749,1.26361,1.66475,0.00102312,0.00102312,0.00102312
57,544.399,1.28789,1.13012,1.47767,0.53979,0.70308,0.5995,0.29744,1.70423,1.25275,1.94015,0.001019,0.001019,0.001019
58,552.305,1.32463,1.1073,1.49821,0.46612,0.68627,0.61324,0.30244,1.70134,1.08645,1.84801,0.00101488,0.00101488,0.00101488
59,562.089,1.29408,1.09582,1.47155,0.58824,0.79794,0.67887,0.38222,1.59373,0.95818,1.81259,0.00101075,0.00101075,0.00101075
60,571.918,1.3003,1.07422,1.49322,0.63449,0.75229,0.69357,0.38269,1.60207,0.97484,1.87725,0.00100663,0.00100663,0.00100663
61,581.744,1.28475,1.01819,1.46676,0.62721,0.80017,0.72616,0.36645,1.70292,1.00078,1.89488,0.0010025,0.0010025,0.0010025
62,590.475,1.3182,1.06811,1.50111,0.61985,0.78965,0.70877,0.39571,1.51417,0.93299,1.71952,0.000998375,0.000998375,0.000998375
63,600.59,1.28828,1.08778,1.47786,0.69003,0.7468,0.71515,0.38654,1.61112,1.05066,1.86648,0.00099425,0.00099425,0.00099425
64,610.613,1.2973,1.08093,1.47496,0.66348,0.74738,0.7022,0.38041,1.6368,0.96609,1.85314,0.000990125,0.000990125,0.000990125
65,618.721,1.28606,1.08728,1.47448,0.60145,0.71466,0.6676,0.38292,1.63196,0.95903,1.88115,0.000986,0.000986,0.000986
66,628.687,1.30661,1.05749,1.49543,0.69574,0.75837,0.73384,0.40119,1.66295,0.95281,1.94403,0.000981875,0.000981875,0.000981875
67,638.687,1.26979,1.06162,1.4541,0.65165,0.79129,0.73051,0.3961,1.70324,0.95133,1.99081,0.00097775,0.00097775,0.00097775
68,646.99,1.27918,1.06239,1.46662,0.66399,0.78007,0.68606,0.36209,1.74033,0.96499,2.11518,0.000973625,0.000973625,0.000973625
69,657.237,1.34713,1.08332,1.52042,0.62492,0.77064,0.71445,0.38169,1.681,0.95656,1.89816,0.0009695,0.0009695,0.0009695
70,667.347,1.31255,1.06956,1.49358,0.60992,0.77122,0.71806,0.36589,1.64781,0.96488,1.82368,0.000965375,0.000965375,0.000965375
71,675.303,1.2539,0.98709,1.45008,0.6972,0.77028,0.70348,0.38865,1.58014,0.93254,1.78947,0.00096125,0.00096125,0.00096125
72,685.224,1.25609,1.00811,1.45927,0.6464,0.76738,0.69283,0.35404,1.65354,1.02035,1.90258,0.000957125,0.000957125,0.000957125
73,695.334,1.25883,0.99948,1.46001,0.60689,0.82568,0.72672,0.39468,1.61027,0.94323,1.84492,0.000953,0.000953,0.000953
74,703.484,1.21794,1.00962,1.41409,0.61922,0.7841,0.67994,0.36384,1.59196,1.02313,1.76844,0.000948875,0.000948875,0.000948875
75,713.563,1.25952,1.01989,1.45682,0.65199,0.8159,0.76465,0.41868,1.62956,0.9127,1.87974,0.00094475,0.00094475,0.00094475
76,723.769,1.23891,0.96462,1.45343,0.54844,0.83097,0.68598,0.39362,1.63017,0.96611,1.90443,0.000940625,0.000940625,0.000940625
77,733.612,1.25479,1.01815,1.46411,0.60546,0.78922,0.71606,0.37066,1.7012,0.98995,2.06625,0.0009365,0.0009365,0.0009365
78,741.619,1.24885,0.97311,1.46546,0.63822,0.73303,0.70102,0.37599,1.74082,0.97875,2.0168,0.000932375,0.000932375,0.000932375
79,751.601,1.22482,1.0001,1.44809,0.55601,0.65205,0.62813,0.33401,1.73922,1.06893,2.03814,0.00092825,0.00092825,0.00092825
80,761.575,1.23637,0.98396,1.44316,0.6356,0.79157,0.73102,0.40533,1.56778,0.92762,1.82413,0.000924125,0.000924125,0.000924125
81,769.598,1.17619,0.93773,1.40847,0.68741,0.7827,0.76886,0.41288,1.63055,0.84008,1.92326,0.00092,0.00092,0.00092
